Symbol,Name,LDCP,Current,Change,Change (%),IDX WTG (%),IDX Point,Volume,Freefloat (M),Market Cap (M),Date
NATF,National Foods Limited,171.66,175.26,3.60,2.10%,0.33%,6.84,"239,929",58,"10,214",2024-11-29
LUCK,Lucky Cement Limited,995.71,"1,019.67",23.96,2.41%,2.92%,68.62,"215,710",88,"89,629",2024-11-29
ABOT,Abbott Laboratories (Pakistan) Limited,992.51,"1,021.33",28.82,2.90%,0.70%,19.82,"196,673",21,"21,554",2024-11-29
KOHC,Kohat Cement Company Limited,402.41,406.26,3.85,0.96%,0.78%,7.37,"182,594",59,"23,871",2024-11-29
HMB,Habib Metropolitan Bank Limited,88.73,83.00,-5.73,-6.46%,1.27%,-88.03,"154,737",472,"39,137",2024-11-29
JVDC,Javedan Corporation Limited,51.53,51.66,0.13,0.25%,0.22%,0.56,"98,085",133,"6,886",2024-11-29
APL,Attock Petroleum Limited,451.75,468.44,16.69,3.70%,0.38%,13.53,"91,890",25,"11,656",2024-11-29
MTL,Millat Tractors Limited,571.68,578.63,6.95,1.22%,1.63%,19.54,"84,129",86,"49,941",2024-11-29
PKGS,Packages Limited,554.26,590.05,35.79,6.46%,0.52%,31.27,"72,146",27,"15,822",2024-11-29
FHAM,First Habib Modaraba,16.95,17.20,0.25,1.48%,0.06%,0.81,"64,480",100,"1,716",2024-11-29
SCBPL,Standard Chartered Bank (Pak) Ltd,51.90,50.69,-1.21,-2.33%,0.32%,-7.63,"46,058",194,"9,813",2024-11-29
PABC,Pakistan Aluminium Beverage Cans Limited,85.01,83.94,-1.07,-1.26%,0.25%,-3.15,"45,638",90,"7,578",2024-11-29
DAWH,Dawood Hercules Corporation Limited,166.20,166.78,0.58,0.35%,1.83%,6.37,"40,175",337,"56,188",2024-11-29
BNWM,Bannu Woollen Mills Limited,36.59,37.00,0.41,1.12%,0.01%,0.06,"30,679",5,176,2024-11-29
IBFL,Ibrahim Fibres Limited,350.23,350.00,-0.23,-0.07%,0.18%,-0.12,"30,047",16,"5,434",2024-11-29
THALL,Thal Limited,455.77,453.78,-1.99,-0.44%,0.60%,-2.63,"27,684",41,"18,385",2024-11-29
BWCLXD,Bestway Cement Limited,309.72,320.91,11.19,3.61%,0.31%,10.87,"26,362",30,"9,567",2024-11-29
PGLC,Pak-Gulf Leasing Company Limited,11.03,11.28,0.25,2.27%,0.00%,0.08,"23,139",10,112,2024-11-29
HGFA,HBL Growth Fund,8.97,9.18,0.21,2.34%,0.08%,1.81,"20,442",265,"2,434",2024-11-29
HINOON,Highnoon Laboratories Limited,868.69,869.88,1.19,0.14%,0.60%,0.82,"20,377",21,"18,436",2024-11-29
SRVI,Service Industries Limited,"1,175.48","1,226.69",51.21,4.36%,0.84%,35.28,"19,132",21,"25,938",2024-11-29
COLG,Colgate-Palmolive (Pakistan) Limited,"1,446.35","1,458.68",12.33,0.85%,1.15%,9.75,"10,056",24,"35,413",2024-11-29
MUREB,Murree Brewery Company Limited,661.05,657.44,-3.61,-0.55%,0.24%,-1.30,"7,050",11,"7,275",2024-11-29
POML,Punjab Oil Mills Limited,106.80,101.64,-5.16,-4.83%,0.01%,-0.52,"4,433",3,316,2024-11-29
PAKT,Pakistan Tobacco Company Limited,"1,200.08","1,206.56",6.48,0.54%,0.49%,2.66,"4,132",13,"15,190",2024-11-29
INDU,Indus Motor Company Limited,"1,997.94","1,992.50",-5.44,-0.27%,0.90%,-2.47,"3,427",14,"27,783",2024-11-29
ATLH,Atlas Honda Limited,858.65,863.01,4.36,0.51%,0.35%,1.76,"2,975",12,"10,709",2024-11-29
LCI,Lucky Core Industries Limited,"1,143.92","1,148.92",5.00,0.44%,0.52%,2.26,"2,253",14,"15,917",2024-11-29
PSEL,Pakistan Services Limited,827.72,835.83,8.11,0.98%,0.66%,6.45,"1,514",24,"20,389",2024-11-29
EFUG,EFU General Insurance Limited,126.86,132.50,5.64,4.45%,0.22%,9.19,"1,442",50,"6,625",2024-11-29
PKGP,Pakgen Power Limited,112.58,107.12,-5.46,-4.85%,0.52%,-26.48,"1,053",149,"15,943",2024-11-29
NESTLEXD,Nestle Pakistan Limited,"6,600.49","6,583.87",-16.62,-0.25%,0.49%,-1.23,878,2,"14,929",2024-11-29
JDWS,JDW Sugar Mills Limited,592.00,599.00,7.00,1.18%,0.17%,1.98,304,9,"5,191",2024-11-29
MEHT,Mehmood Textile Mills Limited,550.50,600.00,49.50,8.99%,0.44%,36.29,129,23,"13,500",2024-11-29
UPFL,Unilever Pakistan Foods Limited,"19,368.13","19,494.84",126.71,0.65%,0.20%,1.28,51,0,"6,035",2024-11-29
RMPL,Rafhan Maize Products Company Limited,"7,988.75","7,878.00",-110.75,-1.39%,0.20%,-2.84,12,1,"6,198",2024-11-29
